AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId
0.49225931,0.302546591,0.248962689,0.229055214,0.364595015,0.383099049,0.500389662,0.389712471,0.431067213,0.359413388,0.72896452,0.424057624,0.431636106,0.408099488,left
0.494351646,0.303686563,0.248795079,0.229282819,0.34864885,0.368250257,0.492080179,0.395968944,0.430588632,0.356153165,0.729364622,0.428851355,0.433757678,0.404539208,left
0.489539909,0.298935591,0.246447891,0.228742202,0.351621611,0.368790082,0.482991374,0.364226393,0.399233814,0.342026915,0.721060592,0.412072467,0.417020337,0.392745623,left
0.482427079,0.297795618,0.247202298,0.228685301,0.380540666,0.388228931,0.491820075,0.350556133,0.388942039,0.342026915,0.718859457,0.40749618,0.413955146,0.379172322,left
0.481590463,0.306727214,0.250890691,0.230136555,0.376486059,0.385259378,0.500648777,0.379054408,0.406654102,0.351535465,0.724262173,0.426671934,0.429278405,0.384735206,left
0.480334742,0.309387874,0.2491303,0.230221961,0.358648464,0.367980858,0.484549031,0.385542078,0.408568427,0.352621861,0.724762492,0.4364785,0.42055599,0.398531395,left
0.48138091,0.29988593,0.245986881,0.229055214,0.351891815,0.370950411,0.467410848,0.360750918,0.395165418,0.350176953,0.72316151,0.418827345,0.4073552,0.388072597,left
0.478243202,0.300265921,0.247286104,0.229169016,0.354865091,0.383099049,0.483770697,0.357507083,0.395643999,0.352349745,0.725762938,0.392241891,0.42126348,0.372496692,left
0.476778725,0.308627893,0.248920707,0.229738138,0.374324425,0.387689106,0.502466538,0.370018262,0.402824541,0.350176953,0.726463308,0.395292749,0.431164745,0.378727393,left
0.484309863,0.309958223,0.249088477,0.229880445,0.392702428,0.385528777,0.493637836,0.375579374,0.401866467,0.350176953,0.728064099,0.417301916,0.423385051,0.393190552,left
0.491004385,0.308247902,0.248878884,0.230335764,0.390810484,0.386878854,0.491820075,0.384152241,0.405217447,0.357783794,0.734467262,0.421006766,0.425977983,0.398976324,left
0.491004385,0.305207251,0.248753096,0.230079654,0.386486187,0.395248715,0.509218363,0.389481273,0.411680572,0.361858296,0.733266573,0.412725629,0.426214113,0.397863578,left
0.482427079,0.29988593,0.248920707,0.228856005,0.376756778,0.386609455,0.505323726,0.38461552,0.408329592,0.359684469,0.727463755,0.409893046,0.422677562,0.400978929,left
0.47866151,0.299315582,0.248669291,0.227746158,0.371080945,0.372300488,0.488184553,0.382530324,0.412637735,0.356425282,0.727763831,0.414905051,0.429985895,0.399199213,left
0.48138091,0.303876921,0.247747272,0.227433147,0.384053835,0.379049846,0.494936378,0.385078799,0.42292951,0.356425282,0.728464201,0.436260226,0.420084629,0.389853161,left
0.480962602,0.315089186,0.247914883,0.228116071,0.370811256,0.385528777,0.5014281,0.387396077,0.426520236,0.363216808,0.725962989,0.465242546,0.401225717,0.39029809,left
0.484518619,0.319460167,0.249591309,0.228400686,0.353513555,0.378779419,0.497273358,0.392029749,0.425323327,0.367020228,0.726763385,0.477010259,0.406411581,0.397641537,left
0.488284985,0.307297563,0.248417875,0.228030773,0.39216202,0.390929085,0.506362164,0.401297975,0.421732601,0.357511677,0.72686341,0.48550884,0.418670548,0.396750832,left
