Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,ID_Chunk
14.1015625,56.0,-89.44094925663744,-90.7404728442343,-90.05112804387655,-89.60735375053875,-90.75909157287819,-92.01542762762887,-92.79438988000561,-85.07288517432636,-88.01687540693443,-87.88210420481245,-90.58560784264824,-80.8827766625236,-93.83120566746184,-88.29901717318258,33025,1.0
14.109375,56.0,-91.97560741453782,-93.21416070856013,-92.88199611296871,-91.49881665031289,-96.80855161178415,-91.46321943617139,-94.056738998831,-91.74722298592302,-91.12002320343613,-88.07039129555254,-92.52680898847332,-89.47548242477711,-94.46925742936482,-93.05573105382324,33025,1.0
14.1171875,56.0,-82.26206621369627,-79.4135696375096,-78.44640360835662,-79.50929105237047,-82.88786387547891,-77.60388073248257,-79.43439987867225,-82.97853627048185,-79.63794213057777,-76.90525318911612,-81.4199481401456,-82.13745071246204,-78.79731878543292,-83.98822230608677,33025,2.0
14.125,56.0,-59.278863362760774,-52.98980847739546,-53.792091346444394,-55.35597521149434,-54.871686470605425,-55.52996793061958,-57.23951788703603,-58.88594768616079,-56.07861717771773,-55.79487280414452,-56.456349932800194,-54.21501529163248,-54.582570527433234,-60.21410319609495,33025,2.0
14.1328125,56.0,-27.954999170877613,-22.593115487843207,-26.84190550727405,-24.684866438158537,-24.154988356243976,-27.397474982203534,-30.163435411133563,-28.031555176662366,-27.849330946282336,-28.123044546381863,-24.34627720426623,-19.073567836008294,-29.151600387392435,-29.408709242843585,33025,2.0
14.140625,56.0,1.7819256519642295,3.223251179656259,-0.9623288635863787,4.247847246971631,1.2113555308183805,1.4629346618716426,-0.9466852622323927,0.38080844413121895,-2.5940101318376776,-0.42102260121740187,4.328911173203252,6.4844296947879485,-3.9258893938557122,0.2607492715885371,33025,2.0
14.1484375,56.0,23.26896799502741,19.84669621643856,21.029809029275725,24.775429170059496,22.16163294642527,23.599945561431014,23.290580193714007,22.283856551491127,16.600122992124696,20.59233854026334,24.524763791666942,18.659201281718055,21.60742816722643,24.26575591779971,33025,3.0
14.15625,56.0,35.92589585948741,28.67469821120092,34.92250159626933,35.52084024065702,40.217330417395075,36.24156913540111,37.48109944523284,36.813895431271376,30.826637044156087,32.8913776160789,37.13776297713339,25.214089589445734,41.80213704575809,39.6118398543299,33025,3.0
14.1640625,56.0,40.912929953798354,34.868865140301196,40.417054269923085,38.489834504101324,47.422921997417276,40.28713959194714,41.46862037628112,42.52113043723308,40.56066166242398,39.21490094021233,43.31800398513714,31.101176432734547,48.47931862967303,45.068315225069526,33025,3.0
14.171875,56.0,38.997092491537146,39.318214545636565,40.23377167192946,34.58047573551893,38.11725524963212,37.176132503435966,37.514007477743874,38.67765122790149,42.86847213836873,40.87295218081846,42.27665273858747,32.26911958387102,41.687015206043384,41.69659886909973,33025,3.0
