,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
43,4125.6411132813,4111.6665039063,4106.1538085938,4122.9487304688,4080.2563476563,4104.4873046875,4079.4870605469,4125.7690429688,4128.58984375,4095.7692871094,4100.6411132813,4210.5126953125,4115.7690429688,4083.58984375
44,4125.6411132813,4110.0,4109.7436523438,4125.2563476563,4083.9743652344,4103.3334960938,4084.2307128906,4126.41015625,4129.3588867188,4096.2822265625,4098.0771484375,4203.4614257813,4117.8203125,4086.0256347656
45,4113.8461914063,4100.1284179688,4104.3588867188,4121.5385742188,4088.58984375,4098.4614257813,4074.7436523438,4107.0512695313,4109.4873046875,4081.41015625,4080.5129394531,4184.3588867188,4101.794921875,4072.1794433594
46,4110.384765625,4099.1025390625,4097.5639648438,4118.4614257813,4078.8461914063,4090.8974609375,4060.5129394531,4084.2307128906,4087.1794433594,4062.8205566406,4057.6923828125,4164.1025390625,4081.794921875,4058.9743652344
47,4116.2822265625,4108.8461914063,4094.3588867188,4121.6665039063,4074.2307128906,4089.6154785156,4057.0512695313,4078.8461914063,4082.3076171875,4057.4357910156,4049.4870605469,4166.9228515625,4076.2819824219,4060.5129394531
48,4119.1025390625,4110.7690429688,4096.794921875,4123.7177734375,4088.205078125,4093.0769042969,4062.4357910156,4083.0769042969,4083.58984375,4057.0512695313,4051.6667480469,4172.3076171875,4077.4357910156,4067.5642089844
49,4119.2309570313,4107.3076171875,4110.6411132813,4124.1025390625,4100.6411132813,4099.615234375,4071.1538085938,4092.0512695313,4088.205078125,4060.1281738281,4058.3332519531,4151.6665039063,4083.8461914063,4078.58984375
50,4126.0258789063,4109.7436523438,4114.1025390625,4127.4360351563,4097.4360351563,4102.6923828125,4076.5385742188,4108.4614257813,4102.0512695313,4074.2307128906,4077.0512695313,4134.4873046875,4099.4873046875,4094.7436523438
51,4128.7177734375,4107.6923828125,4106.1538085938,4128.3334960938,4089.6154785156,4100.0,4074.4870605469,4116.5385742188,4112.8203125,4083.9743652344,4090.7692871094,4135.6411132813,4105.0,4100.0
52,4120.8974609375,4096.9228515625,4106.6665039063,4121.41015625,4092.6923828125,4103.4614257813,4080.1281738281,4111.6665039063,4117.8203125,4085.5129394531,4083.58984375,4125.2563476563,4097.9487304688,4091.41015625
53,4120.0,4089.6154785156,4113.58984375,4116.6665039063,4091.794921875,4109.2309570313,4089.2307128906,4113.3334960938,4124.7436523438,4089.4870605469,4080.5129394531,4118.3334960938,4100.7690429688,4093.8461914063
54,4126.9228515625,4090.6411132813,4112.6923828125,4120.384765625,4077.3076171875,4106.1538085938,4083.3332519531,4113.0771484375,4120.0,4087.5642089844,4089.3588867188,4144.615234375,4108.205078125,4110.6411132813
55,4122.1796875,4095.3845214844,4104.615234375,4123.3334960938,4072.1794433594,4105.1284179688,4077.1794433594,4096.41015625,4099.8715820313,4076.6667480469,4084.3588867188,4159.8715820313,4096.794921875,4113.3334960938
